backend,case_name,status,reason,dtype,algorithm,mode,k,n,dist,seed,rep,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q16_k8_max,PASS,ok,half,bitonic,max,8,65536,uniform,16000156,1,Trunc bitonic end-to-end time (ms),0.199,Trunc bitonic end-to-end time (ms),0.199,Trunc bitonic algorithmic time (ms),0.199,917424,exact,360428,exact
cpu,q16_k256_max,PASS,ok,half,bitonic,max,256,65536,uniform,16000404,1,Trunc bitonic end-to-end time (ms),0.485,Trunc bitonic end-to-end time (ms),0.485,Trunc bitonic algorithmic time (ms),0.485,914944,exact,1506048,exact
cpu,q16_k4096_max,PASS,ok,half,bitonic,max,4096,65536,uniform,16004244,1,Trunc bitonic end-to-end time (ms),0.819,Trunc bitonic end-to-end time (ms),0.819,Trunc bitonic algorithmic time (ms),0.819,876544,exact,2985984,exact
cpu,q17_k8_max,PASS,ok,half,bitonic,max,8,131072,uniform,17000159,1,Trunc bitonic end-to-end time (ms),0.224,Trunc bitonic end-to-end time (ms),0.224,Trunc bitonic algorithmic time (ms),0.224,1834928,exact,720876,exact
cpu,q17_k256_max,PASS,ok,half,bitonic,max,256,131072,uniform,17000407,1,Trunc bitonic end-to-end time (ms),0.546,Trunc bitonic end-to-end time (ms),0.546,Trunc bitonic algorithmic time (ms),0.546,1832448,exact,3013376,exact
cpu,q17_k4096_max,PASS,ok,half,bitonic,max,4096,131072,uniform,17004247,1,Trunc bitonic end-to-end time (ms),0.849,Trunc bitonic end-to-end time (ms),0.849,Trunc bitonic algorithmic time (ms),0.849,1794048,exact,6000640,exact
cpu,q17_k131072_max,PASS,ok,half,bitonic,max,131072,131072,uniform,17131223,1,Trunc bitonic end-to-end time (ms),2.273,Trunc bitonic end-to-end time (ms),2.273,Trunc bitonic algorithmic time (ms),2.273,524288,exact,10027008,exact
cpu,q18_k8_max,PASS,ok,half,bitonic,max,8,262144,uniform,18000162,1,Trunc bitonic end-to-end time (ms),0.263,Trunc bitonic end-to-end time (ms),0.263,Trunc bitonic algorithmic time (ms),0.263,3669936,exact,1441772,exact
cpu,q18_k256_max,PASS,ok,half,bitonic,max,256,262144,uniform,18000410,1,Trunc bitonic end-to-end time (ms),0.613,Trunc bitonic end-to-end time (ms),0.613,Trunc bitonic algorithmic time (ms),0.613,3667456,exact,6028032,exact
cpu,q18_k4096_max,PASS,ok,half,bitonic,max,4096,262144,uniform,18004250,1,Trunc bitonic end-to-end time (ms),0.904,Trunc bitonic end-to-end time (ms),0.904,Trunc bitonic algorithmic time (ms),0.904,3629056,exact,12029952,exact
cpu,q18_k131072_max,PASS,ok,half,bitonic,max,131072,262144,uniform,18131226,1,Trunc bitonic end-to-end time (ms),2.618,Trunc bitonic end-to-end time (ms),2.618,Trunc bitonic algorithmic time (ms),2.618,2359296,exact,21299200,exact
cpu,q19_k8_max,PASS,ok,half,bitonic,max,8,524288,uniform,19000165,1,Trunc bitonic end-to-end time (ms),0.396,Trunc bitonic end-to-end time (ms),0.396,Trunc bitonic algorithmic time (ms),0.396,7339952,exact,2883564,exact
cpu,q19_k256_max,PASS,ok,half,bitonic,max,256,524288,uniform,19000413,1,Trunc bitonic end-to-end time (ms),0.732,Trunc bitonic end-to-end time (ms),0.732,Trunc bitonic algorithmic time (ms),0.732,7337472,exact,12057344,exact
cpu,q19_k4096_max,PASS,ok,half,bitonic,max,4096,524288,uniform,19004253,1,Trunc bitonic end-to-end time (ms),1.197,Trunc bitonic end-to-end time (ms),1.197,Trunc bitonic algorithmic time (ms),1.197,7299072,exact,24088576,exact
cpu,q19_k131072_max,PASS,ok,half,bitonic,max,131072,524288,uniform,19131229,1,Trunc bitonic end-to-end time (ms),2.843,Trunc bitonic end-to-end time (ms),2.843,Trunc bitonic algorithmic time (ms),2.843,6029312,exact,43843584,exact
cpu,q20_k8_max,PASS,ok,half,bitonic,max,8,1048576,uniform,20000168,1,Trunc bitonic end-to-end time (ms),0.542,Trunc bitonic end-to-end time (ms),0.542,Trunc bitonic algorithmic time (ms),0.542,14679984,exact,5767148,exact
cpu,q20_k256_max,PASS,ok,half,bitonic,max,256,1048576,uniform,20000416,1,Trunc bitonic end-to-end time (ms),1.213,Trunc bitonic end-to-end time (ms),1.213,Trunc bitonic algorithmic time (ms),1.213,14677504,exact,24115968,exact
cpu,q20_k4096_max,PASS,ok,half,bitonic,max,4096,1048576,uniform,20004256,1,Trunc bitonic end-to-end time (ms),1.799,Trunc bitonic end-to-end time (ms),1.799,Trunc bitonic algorithmic time (ms),1.799,14639104,exact,48205824,exact
cpu,q20_k131072_max,PASS,ok,half,bitonic,max,131072,1048576,uniform,20131232,1,Trunc bitonic end-to-end time (ms),3.259,Trunc bitonic end-to-end time (ms),3.259,Trunc bitonic algorithmic time (ms),3.259,13369344,exact,88932352,exact
cpu,q21_k8_max,PASS,ok,half,bitonic,max,8,2097152,uniform,21000171,1,Trunc bitonic end-to-end time (ms),0.911,Trunc bitonic end-to-end time (ms),0.911,Trunc bitonic algorithmic time (ms),0.911,29360048,exact,11534316,exact
cpu,q21_k256_max,PASS,ok,half,bitonic,max,256,2097152,uniform,21000419,1,Trunc bitonic end-to-end time (ms),2.131,Trunc bitonic end-to-end time (ms),2.131,Trunc bitonic algorithmic time (ms),2.131,29357568,exact,48233216,exact
cpu,q21_k4096_max,PASS,ok,half,bitonic,max,4096,2097152,uniform,21004259,1,Trunc bitonic end-to-end time (ms),3.539,Trunc bitonic end-to-end time (ms),3.539,Trunc bitonic algorithmic time (ms),3.539,29319168,exact,96440320,exact
cpu,q21_k131072_max,PASS,ok,half,bitonic,max,131072,2097152,uniform,21131235,1,Trunc bitonic end-to-end time (ms),5.691,Trunc bitonic end-to-end time (ms),5.691,Trunc bitonic algorithmic time (ms),5.691,28049408,exact,179109888,exact
cpu,q22_k8_max,PASS,ok,half,bitonic,max,8,4194304,uniform,22000174,1,Trunc bitonic end-to-end time (ms),1.509,Trunc bitonic end-to-end time (ms),1.509,Trunc bitonic algorithmic time (ms),1.509,58720176,exact,23068652,exact
cpu,q22_k256_max,PASS,ok,half,bitonic,max,256,4194304,uniform,22000422,1,Trunc bitonic end-to-end time (ms),4.353,Trunc bitonic end-to-end time (ms),4.353,Trunc bitonic algorithmic time (ms),4.353,58717696,exact,96467712,exact
cpu,q22_k4096_max,PASS,ok,half,bitonic,max,4096,4194304,uniform,22004262,1,Trunc bitonic end-to-end time (ms),6.669,Trunc bitonic end-to-end time (ms),6.669,Trunc bitonic algorithmic time (ms),6.669,58679296,exact,192909312,exact
cpu,q22_k131072_max,PASS,ok,half,bitonic,max,131072,4194304,uniform,22131238,1,Trunc bitonic end-to-end time (ms),11.372,Trunc bitonic end-to-end time (ms),11.372,Trunc bitonic algorithmic time (ms),11.372,57409536,exact,359464960,exact
cpu,q23_k8_max,PASS,ok,half,bitonic,max,8,8388608,uniform,23000177,1,Trunc bitonic end-to-end time (ms),3.148,Trunc bitonic end-to-end time (ms),3.148,Trunc bitonic algorithmic time (ms),3.148,117440432,exact,46137324,exact
cpu,q23_k256_max,PASS,ok,half,bitonic,max,256,8388608,uniform,23000425,1,Trunc bitonic end-to-end time (ms),7.958,Trunc bitonic end-to-end time (ms),7.958,Trunc bitonic algorithmic time (ms),7.958,117437952,exact,192936704,exact
cpu,q23_k4096_max,PASS,ok,half,bitonic,max,4096,8388608,uniform,23004265,1,Trunc bitonic end-to-end time (ms),13.181,Trunc bitonic end-to-end time (ms),13.181,Trunc bitonic algorithmic time (ms),13.181,117399552,exact,385847296,exact
cpu,q23_k131072_max,PASS,ok,half,bitonic,max,131072,8388608,uniform,23131241,1,Trunc bitonic end-to-end time (ms),22.375,Trunc bitonic end-to-end time (ms),22.375,Trunc bitonic algorithmic time (ms),22.375,116129792,exact,720175104,exact
