backend,case_name,status,reason,dtype,algorithm,mode,k,n,dist,seed,rep,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q21_k8_max,PASS,ok,float,bitonic,max,8,2097152,adversarial,21000171,1,Trunc bitonic end-to-end time (ms),1.249,Trunc bitonic end-to-end time (ms),1.249,Trunc bitonic algorithmic time (ms),1.249,58720096,exact,11534316,exact
cpu,q21_k8_max,PASS,ok,float,bitonic,max,8,2097152,adversarial,21000172,1,Trunc bitonic end-to-end time (ms),1.259,Trunc bitonic end-to-end time (ms),1.259,Trunc bitonic algorithmic time (ms),1.259,58720096,exact,11534316,exact
cpu,q21_k8_max,PASS,ok,float,bitonic,max,8,2097152,sorted,21000171,1,Trunc bitonic end-to-end time (ms),1.208,Trunc bitonic end-to-end time (ms),1.208,Trunc bitonic algorithmic time (ms),1.208,58720096,exact,11534316,exact
cpu,q21_k8_max,PASS,ok,float,bitonic,max,8,2097152,sorted,21000172,1,Trunc bitonic end-to-end time (ms),1.179,Trunc bitonic end-to-end time (ms),1.179,Trunc bitonic algorithmic time (ms),1.179,58720096,exact,11534316,exact
cpu,q21_k8_max,PASS,ok,float,bitonic,max,8,2097152,reverse,21000171,1,Trunc bitonic end-to-end time (ms),1.148,Trunc bitonic end-to-end time (ms),1.148,Trunc bitonic algorithmic time (ms),1.148,58720096,exact,11534316,exact
cpu,q21_k8_max,PASS,ok,float,bitonic,max,8,2097152,reverse,21000172,1,Trunc bitonic end-to-end time (ms),1.407,Trunc bitonic end-to-end time (ms),1.407,Trunc bitonic algorithmic time (ms),1.407,58720096,exact,11534316,exact
cpu,q21_k131072_max,PASS,ok,float,bitonic,max,131072,2097152,uniform,21131235,1,Trunc bitonic end-to-end time (ms),5.177,Trunc bitonic end-to-end time (ms),5.177,Trunc bitonic algorithmic time (ms),5.177,56098816,exact,179109888,exact
cpu,q21_k131072_max,PASS,ok,float,bitonic,max,131072,2097152,uniform,21131236,1,Trunc bitonic end-to-end time (ms),5.179,Trunc bitonic end-to-end time (ms),5.179,Trunc bitonic algorithmic time (ms),5.179,56098816,exact,179109888,exact
cpu,q21_k131072_max,PASS,ok,float,bitonic,max,131072,2097152,trimodal,21131235,1,Trunc bitonic end-to-end time (ms),5.194,Trunc bitonic end-to-end time (ms),5.194,Trunc bitonic algorithmic time (ms),5.194,56098816,exact,179109888,exact
cpu,q21_k131072_max,PASS,ok,float,bitonic,max,131072,2097152,trimodal,21131236,1,Trunc bitonic end-to-end time (ms),5.133,Trunc bitonic end-to-end time (ms),5.133,Trunc bitonic algorithmic time (ms),5.133,56098816,exact,179109888,exact
cpu,q21_k131072_max,PASS,ok,float,bitonic,max,131072,2097152,adversarial,21131235,1,Trunc bitonic end-to-end time (ms),5.242,Trunc bitonic end-to-end time (ms),5.242,Trunc bitonic algorithmic time (ms),5.242,56098816,exact,179109888,exact
cpu,q21_k131072_max,PASS,ok,float,bitonic,max,131072,2097152,adversarial,21131236,1,Trunc bitonic end-to-end time (ms),5.177,Trunc bitonic end-to-end time (ms),5.177,Trunc bitonic algorithmic time (ms),5.177,56098816,exact,179109888,exact
cpu,q21_k131072_max,PASS,ok,float,bitonic,max,131072,2097152,sorted,21131235,1,Trunc bitonic end-to-end time (ms),5.479,Trunc bitonic end-to-end time (ms),5.479,Trunc bitonic algorithmic time (ms),5.479,56098816,exact,179109888,exact
cpu,q21_k131072_max,PASS,ok,float,bitonic,max,131072,2097152,sorted,21131236,1,Trunc bitonic end-to-end time (ms),5.182,Trunc bitonic end-to-end time (ms),5.182,Trunc bitonic algorithmic time (ms),5.182,56098816,exact,179109888,exact
cpu,q21_k131072_max,PASS,ok,float,bitonic,max,131072,2097152,reverse,21131235,1,Trunc bitonic end-to-end time (ms),5.185,Trunc bitonic end-to-end time (ms),5.185,Trunc bitonic algorithmic time (ms),5.185,56098816,exact,179109888,exact
cpu,q21_k131072_max,PASS,ok,float,bitonic,max,131072,2097152,reverse,21131236,1,Trunc bitonic end-to-end time (ms),5.145,Trunc bitonic end-to-end time (ms),5.145,Trunc bitonic algorithmic time (ms),5.145,56098816,exact,179109888,exact
cpu,q22_k8_max,PASS,ok,float,bitonic,max,8,4194304,uniform,22000174,1,Trunc bitonic end-to-end time (ms),2.364,Trunc bitonic end-to-end time (ms),2.364,Trunc bitonic algorithmic time (ms),2.364,117440352,exact,23068652,exact
cpu,q22_k8_max,PASS,ok,float,bitonic,max,8,4194304,uniform,22000175,1,Trunc bitonic end-to-end time (ms),2.388,Trunc bitonic end-to-end time (ms),2.388,Trunc bitonic algorithmic time (ms),2.388,117440352,exact,23068652,exact
cpu,q22_k8_max,PASS,ok,float,bitonic,max,8,4194304,trimodal,22000174,1,Trunc bitonic end-to-end time (ms),2.388,Trunc bitonic end-to-end time (ms),2.388,Trunc bitonic algorithmic time (ms),2.388,117440352,exact,23068652,exact
cpu,q22_k8_max,PASS,ok,float,bitonic,max,8,4194304,trimodal,22000175,1,Trunc bitonic end-to-end time (ms),2.343,Trunc bitonic end-to-end time (ms),2.343,Trunc bitonic algorithmic time (ms),2.343,117440352,exact,23068652,exact
cpu,q22_k8_max,PASS,ok,float,bitonic,max,8,4194304,adversarial,22000174,1,Trunc bitonic end-to-end time (ms),2.313,Trunc bitonic end-to-end time (ms),2.313,Trunc bitonic algorithmic time (ms),2.313,117440352,exact,23068652,exact
cpu,q22_k8_max,PASS,ok,float,bitonic,max,8,4194304,adversarial,22000175,1,Trunc bitonic end-to-end time (ms),2.314,Trunc bitonic end-to-end time (ms),2.314,Trunc bitonic algorithmic time (ms),2.314,117440352,exact,23068652,exact
cpu,q22_k8_max,PASS,ok,float,bitonic,max,8,4194304,sorted,22000174,1,Trunc bitonic end-to-end time (ms),2.331,Trunc bitonic end-to-end time (ms),2.331,Trunc bitonic algorithmic time (ms),2.331,117440352,exact,23068652,exact
cpu,q22_k8_max,PASS,ok,float,bitonic,max,8,4194304,sorted,22000175,1,Trunc bitonic end-to-end time (ms),2.349,Trunc bitonic end-to-end time (ms),2.349,Trunc bitonic algorithmic time (ms),2.349,117440352,exact,23068652,exact
cpu,q22_k8_max,PASS,ok,float,bitonic,max,8,4194304,reverse,22000174,1,Trunc bitonic end-to-end time (ms),2.227,Trunc bitonic end-to-end time (ms),2.227,Trunc bitonic algorithmic time (ms),2.227,117440352,exact,23068652,exact
cpu,q22_k8_max,PASS,ok,float,bitonic,max,8,4194304,reverse,22000175,1,Trunc bitonic end-to-end time (ms),2.381,Trunc bitonic end-to-end time (ms),2.381,Trunc bitonic algorithmic time (ms),2.381,117440352,exact,23068652,exact
cpu,q22_k131072_max,PASS,ok,float,bitonic,max,131072,4194304,uniform,22131238,1,Trunc bitonic end-to-end time (ms),11.159,Trunc bitonic end-to-end time (ms),11.159,Trunc bitonic algorithmic time (ms),11.159,114819072,exact,359464960,exact
cpu,q22_k131072_max,PASS,ok,float,bitonic,max,131072,4194304,uniform,22131239,1,Trunc bitonic end-to-end time (ms),11.466,Trunc bitonic end-to-end time (ms),11.466,Trunc bitonic algorithmic time (ms),11.466,114819072,exact,359464960,exact
cpu,q22_k131072_max,PASS,ok,float,bitonic,max,131072,4194304,trimodal,22131238,1,Trunc bitonic end-to-end time (ms),11.041,Trunc bitonic end-to-end time (ms),11.041,Trunc bitonic algorithmic time (ms),11.041,114819072,exact,359464960,exact
cpu,q22_k131072_max,PASS,ok,float,bitonic,max,131072,4194304,trimodal,22131239,1,Trunc bitonic end-to-end time (ms),11.156,Trunc bitonic end-to-end time (ms),11.156,Trunc bitonic algorithmic time (ms),11.156,114819072,exact,359464960,exact
cpu,q22_k131072_max,PASS,ok,float,bitonic,max,131072,4194304,adversarial,22131238,1,Trunc bitonic end-to-end time (ms),11.137,Trunc bitonic end-to-end time (ms),11.137,Trunc bitonic algorithmic time (ms),11.137,114819072,exact,359464960,exact
cpu,q22_k131072_max,PASS,ok,float,bitonic,max,131072,4194304,adversarial,22131239,1,Trunc bitonic end-to-end time (ms),11.286,Trunc bitonic end-to-end time (ms),11.286,Trunc bitonic algorithmic time (ms),11.286,114819072,exact,359464960,exact
cpu,q22_k131072_max,PASS,ok,float,bitonic,max,131072,4194304,sorted,22131238,1,Trunc bitonic end-to-end time (ms),11.064,Trunc bitonic end-to-end time (ms),11.064,Trunc bitonic algorithmic time (ms),11.064,114819072,exact,359464960,exact
cpu,q22_k131072_max,PASS,ok,float,bitonic,max,131072,4194304,sorted,22131239,1,Trunc bitonic end-to-end time (ms),11.34,Trunc bitonic end-to-end time (ms),11.34,Trunc bitonic algorithmic time (ms),11.34,114819072,exact,359464960,exact
cpu,q22_k131072_max,PASS,ok,float,bitonic,max,131072,4194304,reverse,22131238,1,Trunc bitonic end-to-end time (ms),11.191,Trunc bitonic end-to-end time (ms),11.191,Trunc bitonic algorithmic time (ms),11.191,114819072,exact,359464960,exact
cpu,q22_k131072_max,PASS,ok,float,bitonic,max,131072,4194304,reverse,22131239,1,Trunc bitonic end-to-end time (ms),11.471,Trunc bitonic end-to-end time (ms),11.471,Trunc bitonic algorithmic time (ms),11.471,114819072,exact,359464960,exact
cpu,q23_k8_max,PASS,ok,float,bitonic,max,8,8388608,uniform,23000177,1,Trunc bitonic end-to-end time (ms),4.384,Trunc bitonic end-to-end time (ms),4.384,Trunc bitonic algorithmic time (ms),4.384,234880864,exact,46137324,exact
