backend,case_name,status,reason,dtype,algorithm,mode,k,n,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q16_k4096_max,PASS,ok,double,bitonic,max,4096,65536,Trunc bitonic end-to-end time (ms),1.41,Trunc bitonic end-to-end time (ms),1.41,Trunc bitonic algorithmic time (ms),1.41,3506176,exact,2985984,exact
cpu,q17_k8_max,PASS,ok,double,bitonic,max,8,131072,Trunc bitonic end-to-end time (ms),0.367,Trunc bitonic end-to-end time (ms),0.367,Trunc bitonic algorithmic time (ms),0.367,5242688,exact,720876,exact
cpu,q17_k256_max,PASS,ok,double,bitonic,max,256,131072,Trunc bitonic end-to-end time (ms),1.287,Trunc bitonic end-to-end time (ms),1.287,Trunc bitonic algorithmic time (ms),1.287,7329792,exact,3013376,exact
cpu,q17_k4096_max,PASS,ok,double,bitonic,max,4096,131072,Trunc bitonic end-to-end time (ms),1.471,Trunc bitonic end-to-end time (ms),1.471,Trunc bitonic algorithmic time (ms),1.471,7176192,exact,6000640,exact
cpu,q17_k131072_max,PASS,ok,double,bitonic,max,131072,131072,Trunc bitonic end-to-end time (ms),2.033,Trunc bitonic end-to-end time (ms),2.033,Trunc bitonic algorithmic time (ms),2.033,6291456,exact,10027008,exact
cpu,q18_k8_max,PASS,ok,double,bitonic,max,8,262144,Trunc bitonic end-to-end time (ms),0.42,Trunc bitonic end-to-end time (ms),0.42,Trunc bitonic algorithmic time (ms),0.42,10485568,exact,1441772,exact
cpu,q18_k256_max,PASS,ok,double,bitonic,max,256,262144,Trunc bitonic end-to-end time (ms),1.016,Trunc bitonic end-to-end time (ms),1.016,Trunc bitonic algorithmic time (ms),1.016,14669824,exact,6028032,exact
cpu,q18_k4096_max,PASS,ok,double,bitonic,max,4096,262144,Trunc bitonic end-to-end time (ms),1.511,Trunc bitonic end-to-end time (ms),1.511,Trunc bitonic algorithmic time (ms),1.511,14516224,exact,12029952,exact
cpu,q18_k131072_max,PASS,ok,double,bitonic,max,131072,262144,Trunc bitonic end-to-end time (ms),2.533,Trunc bitonic end-to-end time (ms),2.533,Trunc bitonic algorithmic time (ms),2.533,19922944,exact,21299200,exact
cpu,q19_k8_max,PASS,ok,double,bitonic,max,8,524288,Trunc bitonic end-to-end time (ms),0.909,Trunc bitonic end-to-end time (ms),0.909,Trunc bitonic algorithmic time (ms),0.909,20971328,exact,2883564,exact
cpu,q19_k256_max,PASS,ok,double,bitonic,max,256,524288,Trunc bitonic end-to-end time (ms),1.292,Trunc bitonic end-to-end time (ms),1.292,Trunc bitonic algorithmic time (ms),1.292,29349888,exact,12057344,exact
cpu,q19_k4096_max,PASS,ok,double,bitonic,max,4096,524288,Trunc bitonic end-to-end time (ms),1.933,Trunc bitonic end-to-end time (ms),1.933,Trunc bitonic algorithmic time (ms),1.933,29196288,exact,24088576,exact
cpu,q19_k131072_max,PASS,ok,double,bitonic,max,131072,524288,Trunc bitonic end-to-end time (ms),3.279,Trunc bitonic end-to-end time (ms),3.279,Trunc bitonic algorithmic time (ms),3.279,47185920,exact,43843584,exact
cpu,q20_k8_max,PASS,ok,double,bitonic,max,8,1048576,Trunc bitonic end-to-end time (ms),1.25,Trunc bitonic end-to-end time (ms),1.25,Trunc bitonic algorithmic time (ms),1.25,41942848,exact,5767148,exact
cpu,q20_k256_max,PASS,ok,double,bitonic,max,256,1048576,Trunc bitonic end-to-end time (ms),2.651,Trunc bitonic end-to-end time (ms),2.651,Trunc bitonic algorithmic time (ms),2.651,58710016,exact,24115968,exact
cpu,q20_k4096_max,PASS,ok,double,bitonic,max,4096,1048576,Trunc bitonic end-to-end time (ms),3.72,Trunc bitonic end-to-end time (ms),3.72,Trunc bitonic algorithmic time (ms),3.72,58556416,exact,48205824,exact
cpu,q20_k131072_max,PASS,ok,double,bitonic,max,131072,1048576,Trunc bitonic end-to-end time (ms),8.085,Trunc bitonic end-to-end time (ms),8.085,Trunc bitonic algorithmic time (ms),8.085,101711872,exact,88932352,exact
cpu,q21_k8_max,PASS,ok,double,bitonic,max,8,2097152,Trunc bitonic end-to-end time (ms),2.377,Trunc bitonic end-to-end time (ms),2.377,Trunc bitonic algorithmic time (ms),2.377,83885888,exact,11534316,exact
cpu,q21_k256_max,PASS,ok,double,bitonic,max,256,2097152,Trunc bitonic end-to-end time (ms),5.296,Trunc bitonic end-to-end time (ms),5.296,Trunc bitonic algorithmic time (ms),5.296,117430272,exact,48233216,exact
cpu,q21_k4096_max,PASS,ok,double,bitonic,max,4096,2097152,Trunc bitonic end-to-end time (ms),8.869,Trunc bitonic end-to-end time (ms),8.869,Trunc bitonic algorithmic time (ms),8.869,117276672,exact,96440320,exact
cpu,q21_k131072_max,PASS,ok,double,bitonic,max,131072,2097152,Trunc bitonic end-to-end time (ms),11.754,Trunc bitonic end-to-end time (ms),11.754,Trunc bitonic algorithmic time (ms),11.754,210763776,exact,179109888,exact
cpu,q22_k8_max,PASS,ok,double,bitonic,max,8,4194304,Trunc bitonic end-to-end time (ms),4.32,Trunc bitonic end-to-end time (ms),4.32,Trunc bitonic algorithmic time (ms),4.32,167771968,exact,23068652,exact
cpu,q22_k256_max,PASS,ok,double,bitonic,max,256,4194304,Trunc bitonic end-to-end time (ms),10.632,Trunc bitonic end-to-end time (ms),10.632,Trunc bitonic algorithmic time (ms),10.632,234870784,exact,96467712,exact
cpu,q22_k4096_max,PASS,ok,double,bitonic,max,4096,4194304,Trunc bitonic end-to-end time (ms),15.47,Trunc bitonic end-to-end time (ms),15.47,Trunc bitonic algorithmic time (ms),15.47,234717184,exact,192909312,exact
cpu,q22_k131072_max,PASS,ok,double,bitonic,max,131072,4194304,Trunc bitonic end-to-end time (ms),28.066,Trunc bitonic end-to-end time (ms),28.066,Trunc bitonic algorithmic time (ms),28.066,428867584,exact,359464960,exact
cpu,q23_k8_max,PASS,ok,double,bitonic,max,8,8388608,Trunc bitonic end-to-end time (ms),8.746,Trunc bitonic end-to-end time (ms),8.746,Trunc bitonic algorithmic time (ms),8.746,335544128,exact,46137324,exact
cpu,q23_k256_max,PASS,ok,double,bitonic,max,256,8388608,Trunc bitonic end-to-end time (ms),20.992,Trunc bitonic end-to-end time (ms),20.992,Trunc bitonic algorithmic time (ms),20.992,469751808,exact,192936704,exact
cpu,q23_k4096_max,PASS,ok,double,bitonic,max,4096,8388608,Trunc bitonic end-to-end time (ms),32.713,Trunc bitonic end-to-end time (ms),32.713,Trunc bitonic algorithmic time (ms),32.713,469598208,exact,385847296,exact
cpu,q23_k131072_max,PASS,ok,double,bitonic,max,131072,8388608,Trunc bitonic end-to-end time (ms),53.437,Trunc bitonic end-to-end time (ms),53.437,Trunc bitonic algorithmic time (ms),53.437,865075200,exact,720175104,exact
cpu,q24_k8_max,PASS,ok,double,bitonic,max,8,16777216,Trunc bitonic end-to-end time (ms),17.772,Trunc bitonic end-to-end time (ms),17.772,Trunc bitonic algorithmic time (ms),17.772,671088448,exact,92274668,exact
cpu,q24_k256_max,PASS,ok,double,bitonic,max,256,16777216,Trunc bitonic end-to-end time (ms),44.748,Trunc bitonic end-to-end time (ms),44.748,Trunc bitonic algorithmic time (ms),44.748,939513856,exact,385874688,exact
cpu,q24_k4096_max,PASS,ok,double,bitonic,max,4096,16777216,Trunc bitonic end-to-end time (ms),62.381,Trunc bitonic end-to-end time (ms),62.381,Trunc bitonic algorithmic time (ms),62.381,939360256,exact,771723264,exact
