backend,kernel,ops_per_elem,elements,bytes_moved,ops,ms_mean,ms_stdev,ms_min,gbytes_per_s,gops_per_s,operational_intensity,joules_per_iter
gpu,cache_read,0,8192,268435456,0,2.760921,0.281182,2.57547,104.2278,0,0,0.160592
gpu,cache_read,0,16384,268435456,0,1.433959,0.018089,1.404458,191.131,0,0,0.081048
gpu,cache_read,0,32768,268435456,0,0.800119,0.003005,0.794397,337.911,0,0,0.043785
gpu,cache_read,0,65536,268435456,0,0.48737,0.003166,0.479167,560.2127,0,0,0.026257
gpu,cache_read,0,131072,268435456,0,0.327984,0.001796,0.322523,832.2986,0,0,0.015056
gpu,cache_read,0,262144,268435456,0,0.248969,0.003453,0.241512,1111.4788,0,0,0.012001
gpu,cache_read,0,524288,268435456,0,0.202802,0.00182,0.198151,1354.7015,0,0,0.009854
gpu,cache_read,0,1048576,268435456,0,0.183513,0.00575,0.175218,1532.0084,0,0,0.005713
gpu,cache_read,0,2097152,268435456,0,0.181119,0.004237,0.172633,1554.9487,0,0,0.009346
gpu,cache_read,0,4194304,268435456,0,0.223821,0.004314,0.215183,1247.4752,0,0,0.009805
gpu,cache_read,0,8388608,268435456,0,0.372224,0.010315,0.358752,748.248,0,0,0.021452
gpu,cache_read,0,16777216,268435456,0,0.50271,0.009812,0.483515,555.175,0,0,0.02843
gpu,cache_read,0,33554432,268435456,0,0.672131,0.012887,0.652972,411.098,0,0,0.03621
gpu,cache_read,0,67108864,268435456,0,0.941027,0.008677,0.930561,288.4663,0,0,0.053152
gpu,h2d_pageable,0,8192,32768,0,0.051273,0.00121,0.050354,0.6508,0,0,0.000259
gpu,h2d_pinned,0,8192,32768,0,0.057203,0.001073,0.055895,0.5862,0,0,0.002029
gpu,d2h_pageable,0,8192,32768,0,0.060161,0.002422,0.058309,0.562,0,0,0.002029
gpu,d2h_pinned,0,8192,32768,0,0.057778,0.001938,0.056566,0.5793,0,0,0.004266
gpu,h2d_pageable,0,16384,65536,0,0.052344,0.001951,0.051266,1.2784,0,0,0.000405
gpu,h2d_pinned,0,16384,65536,0,0.060257,0.00194,0.05882,1.1142,0,0,0.004265
gpu,d2h_pageable,0,16384,65536,0,0.063848,0.001513,0.062487,1.0488,0,0,0.000625
gpu,d2h_pinned,0,16384,65536,0,0.059444,0.001114,0.05859,1.1186,0,0,0.00244
gpu,h2d_pageable,0,32768,131072,0,0.052796,0.000975,0.052398,2.5015,0,0,0.002234
gpu,h2d_pinned,0,32768,131072,0,0.064494,0.00198,0.063238,2.0727,0,0,0.002247
gpu,d2h_pageable,0,32768,131072,0,0.071296,0.001763,0.06967,1.8813,0,0,0.004265
gpu,d2h_pinned,0,32768,131072,0,0.064423,0.001428,0.063779,2.0551,0,0,0.004476
gpu,h2d_pageable,0,65536,262144,0,0.056027,0.001352,0.055434,4.7289,0,0,0.002238
gpu,h2d_pinned,0,65536,262144,0,0.075315,0.001341,0.07465,3.5116,0,0,0.002029
gpu,d2h_pageable,0,65536,262144,0,0.086823,0.00194,0.084288,3.1101,0,0,0.004703
gpu,d2h_pinned,0,65536,262144,0,0.075405,0.001706,0.073859,3.5492,0,0,0.002677
gpu,h2d_pageable,0,131072,524288,0,0.062423,0.001465,0.061535,8.5202,0,0,0.002241
gpu,h2d_pinned,0,131072,524288,0,0.090865,0.001658,0.089858,5.8346,0,0,0.002702
gpu,d2h_pageable,0,131072,524288,0,0.119505,0.004874,0.11263,4.655,0,0,0.006991
gpu,d2h_pinned,0,131072,524288,0,0.09602,0.001831,0.09085,5.7709,0,0,0.002673
gpu,h2d_pageable,0,262144,1048576,0,0.102671,0.004089,0.078607,13.3395,0,0,0.004667
gpu,h2d_pinned,0,262144,1048576,0,0.127213,0.002216,0.126156,8.3117,0,0,0.00642
gpu,d2h_pageable,0,262144,1048576,0,0.191926,0.008493,0.178504,5.8742,0,0,0.010437
gpu,d2h_pinned,0,262144,1048576,0,0.128955,0.004591,0.126196,8.3091,0,0,0.006257
gpu,h2d_pageable,0,524288,2097152,0,0.176072,0.004314,0.153417,13.6696,0,0,0.007083
gpu,h2d_pinned,0,524288,2097152,0,0.199361,0.001146,0.198451,10.5676,0,0,0.007587
gpu,d2h_pageable,0,524288,2097152,0,0.253359,0.001554,0.247604,8.4698,0,0,0.011679
gpu,d2h_pinned,0,524288,2097152,0,0.19906,0.001131,0.198151,10.5836,0,0,0.00742
gpu,h2d_pageable,0,1048576,4194304,0,0.323543,0.003951,0.300653,13.9506,0,0,0.01817
gpu,h2d_pinned,0,1048576,4194304,0,0.345075,0.001123,0.344184,12.1862,0,0,0.018291
gpu,d2h_pageable,0,1048576,4194304,0,0.401961,0.003317,0.3952,10.6131,0,0,0.022778
gpu,d2h_pinned,0,1048576,4194304,0,0.344441,0.001918,0.343433,12.2129,0,0,0.017649
