backend,case_name,status,reason,dtype,algorithm,mode,k,n,dist,seed,rep,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q19_k256_max,PASS,ok,float,bitonic,max,256,524288,uniform,19000413,1,Trunc bitonic end-to-end time (ms),1.796,Trunc bitonic end-to-end time (ms),1.796,Trunc bitonic algorithmic time (ms),1.796,14674944,exact,12057344,exact
cpu,q19_k4096_max,PASS,ok,float,bitonic,max,4096,524288,uniform,19004253,1,Trunc bitonic end-to-end time (ms),3.637,Trunc bitonic end-to-end time (ms),3.637,Trunc bitonic algorithmic time (ms),3.637,14598144,exact,24088576,exact
cpu,q19_k131072_max,PASS,ok,float,bitonic,max,131072,524288,uniform,19131229,1,Trunc bitonic end-to-end time (ms),5.675,Trunc bitonic end-to-end time (ms),5.675,Trunc bitonic algorithmic time (ms),5.675,12058624,exact,43843584,exact
cpu,q20_k8_max,PASS,ok,float,bitonic,max,8,1048576,uniform,20000168,1,Trunc bitonic end-to-end time (ms),0.684,Trunc bitonic end-to-end time (ms),0.684,Trunc bitonic algorithmic time (ms),0.684,29359968,exact,5767148,exact
cpu,q20_k256_max,PASS,ok,float,bitonic,max,256,1048576,uniform,20000416,1,Trunc bitonic end-to-end time (ms),1.398,Trunc bitonic end-to-end time (ms),1.398,Trunc bitonic algorithmic time (ms),1.398,29355008,exact,24115968,exact
cpu,q20_k4096_max,PASS,ok,float,bitonic,max,4096,1048576,uniform,20004256,1,Trunc bitonic end-to-end time (ms),2.636,Trunc bitonic end-to-end time (ms),2.636,Trunc bitonic algorithmic time (ms),2.636,29278208,exact,48205824,exact
cpu,q20_k131072_max,PASS,ok,float,bitonic,max,131072,1048576,uniform,20131232,1,Trunc bitonic end-to-end time (ms),3.712,Trunc bitonic end-to-end time (ms),3.712,Trunc bitonic algorithmic time (ms),3.712,26738688,exact,88932352,exact
cpu,q21_k8_max,PASS,ok,float,bitonic,max,8,2097152,uniform,21000171,1,Trunc bitonic end-to-end time (ms),1.203,Trunc bitonic end-to-end time (ms),1.203,Trunc bitonic algorithmic time (ms),1.203,58720096,exact,11534316,exact
cpu,q21_k256_max,PASS,ok,float,bitonic,max,256,2097152,uniform,21000419,1,Trunc bitonic end-to-end time (ms),5.659,Trunc bitonic end-to-end time (ms),5.659,Trunc bitonic algorithmic time (ms),5.659,58715136,exact,48233216,exact
cpu,q21_k4096_max,PASS,ok,float,bitonic,max,4096,2097152,uniform,21004259,1,Trunc bitonic end-to-end time (ms),4.842,Trunc bitonic end-to-end time (ms),4.842,Trunc bitonic algorithmic time (ms),4.842,58638336,exact,96440320,exact
cpu,q21_k131072_max,PASS,ok,float,bitonic,max,131072,2097152,uniform,21131235,1,Trunc bitonic end-to-end time (ms),6.829,Trunc bitonic end-to-end time (ms),6.829,Trunc bitonic algorithmic time (ms),6.829,56098816,exact,179109888,exact
cpu,q22_k8_max,PASS,ok,float,bitonic,max,8,4194304,uniform,22000174,1,Trunc bitonic end-to-end time (ms),2.605,Trunc bitonic end-to-end time (ms),2.605,Trunc bitonic algorithmic time (ms),2.605,117440352,exact,23068652,exact
cpu,q22_k256_max,PASS,ok,float,bitonic,max,256,4194304,uniform,22000422,1,Trunc bitonic end-to-end time (ms),10.212,Trunc bitonic end-to-end time (ms),10.212,Trunc bitonic algorithmic time (ms),10.212,117435392,exact,96467712,exact
cpu,q22_k4096_max,PASS,ok,float,bitonic,max,4096,4194304,uniform,22004262,1,Trunc bitonic end-to-end time (ms),13.995,Trunc bitonic end-to-end time (ms),13.995,Trunc bitonic algorithmic time (ms),13.995,117358592,exact,192909312,exact
cpu,q22_k131072_max,PASS,ok,float,bitonic,max,131072,4194304,uniform,22131238,1,Trunc bitonic end-to-end time (ms),15.029,Trunc bitonic end-to-end time (ms),15.029,Trunc bitonic algorithmic time (ms),15.029,114819072,exact,359464960,exact
cpu,q23_k8_max,PASS,ok,float,bitonic,max,8,8388608,uniform,23000177,1,Trunc bitonic end-to-end time (ms),5.433,Trunc bitonic end-to-end time (ms),5.433,Trunc bitonic algorithmic time (ms),5.433,234880864,exact,46137324,exact
cpu,q23_k256_max,PASS,ok,float,bitonic,max,256,8388608,uniform,23000425,1,Trunc bitonic end-to-end time (ms),12.534,Trunc bitonic end-to-end time (ms),12.534,Trunc bitonic algorithmic time (ms),12.534,234875904,exact,192936704,exact
cpu,q23_k4096_max,PASS,ok,float,bitonic,max,4096,8388608,uniform,23004265,1,Trunc bitonic end-to-end time (ms),22.13,Trunc bitonic end-to-end time (ms),22.13,Trunc bitonic algorithmic time (ms),22.13,234799104,exact,385847296,exact
cpu,q23_k131072_max,PASS,ok,float,bitonic,max,131072,8388608,uniform,23131241,1,Trunc bitonic end-to-end time (ms),36.527,Trunc bitonic end-to-end time (ms),36.527,Trunc bitonic algorithmic time (ms),36.527,232259584,exact,720175104,exact
cpu,q24_k8_max,PASS,ok,float,bitonic,max,8,16777216,uniform,24000180,1,Trunc bitonic end-to-end time (ms),15.273,Trunc bitonic end-to-end time (ms),15.273,Trunc bitonic algorithmic time (ms),15.273,469761888,exact,92274668,exact
cpu,q24_k256_max,PASS,ok,float,bitonic,max,256,16777216,uniform,24000428,1,Trunc bitonic end-to-end time (ms),28.637,Trunc bitonic end-to-end time (ms),28.637,Trunc bitonic algorithmic time (ms),28.637,469756928,exact,385874688,exact
cpu,q24_k4096_max,PASS,ok,float,bitonic,max,4096,16777216,uniform,24004268,1,Trunc bitonic end-to-end time (ms),33.471,Trunc bitonic end-to-end time (ms),33.471,Trunc bitonic algorithmic time (ms),33.471,469680128,exact,771723264,exact
cpu,q24_k131072_max,PASS,ok,float,bitonic,max,131072,16777216,uniform,24131244,1,Trunc bitonic end-to-end time (ms),70.839,Trunc bitonic end-to-end time (ms),70.839,Trunc bitonic algorithmic time (ms),70.839,467140608,exact,1441595392,exact
cpu,q03_k8_max,PASS,ok,float,map_reduce,max,8,8,uniform,3000117,1,Map-reduce top-k end-to-end time (ms),0.048,Map-reduce top-k end-to-end time (ms),0.048,Map-reduce top-k algorithmic time (ms),0.048,96,exact,8,lower-bound
cpu,q04_k8_max,PASS,ok,float,map_reduce,max,8,16,uniform,4000120,1,Map-reduce top-k end-to-end time (ms),0.056,Map-reduce top-k end-to-end time (ms),0.056,Map-reduce top-k algorithmic time (ms),0.056,128,exact,16,lower-bound
cpu,q05_k8_max,PASS,ok,float,map_reduce,max,8,32,uniform,5000123,1,Map-reduce top-k end-to-end time (ms),0.062,Map-reduce top-k end-to-end time (ms),0.062,Map-reduce top-k algorithmic time (ms),0.062,192,exact,32,lower-bound
cpu,q06_k8_max,PASS,ok,float,map_reduce,max,8,64,uniform,6000126,1,Map-reduce top-k end-to-end time (ms),0.054,Map-reduce top-k end-to-end time (ms),0.054,Map-reduce top-k algorithmic time (ms),0.054,320,exact,64,lower-bound
cpu,q07_k8_max,PASS,ok,float,map_reduce,max,8,128,uniform,7000129,1,Map-reduce top-k end-to-end time (ms),0.048,Map-reduce top-k end-to-end time (ms),0.048,Map-reduce top-k algorithmic time (ms),0.048,576,exact,128,lower-bound
cpu,q08_k8_max,PASS,ok,float,map_reduce,max,8,256,uniform,8000132,1,Map-reduce top-k end-to-end time (ms),0.063,Map-reduce top-k end-to-end time (ms),0.063,Map-reduce top-k algorithmic time (ms),0.063,1088,exact,256,lower-bound
cpu,q08_k256_max,PASS,ok,float,map_reduce,max,256,256,uniform,8000380,1,Map-reduce top-k end-to-end time (ms),0.073,Map-reduce top-k end-to-end time (ms),0.073,Map-reduce top-k algorithmic time (ms),0.073,3072,exact,256,lower-bound
cpu,q09_k8_max,PASS,ok,float,map_reduce,max,8,512,uniform,9000135,1,Map-reduce top-k end-to-end time (ms),0.052,Map-reduce top-k end-to-end time (ms),0.052,Map-reduce top-k algorithmic time (ms),0.052,2112,exact,512,lower-bound
cpu,q09_k256_max,PASS,ok,float,map_reduce,max,256,512,uniform,9000383,1,Map-reduce top-k end-to-end time (ms),0.054,Map-reduce top-k end-to-end time (ms),0.054,Map-reduce top-k algorithmic time (ms),0.054,4096,exact,512,lower-bound
cpu,q10_k8_max,PASS,ok,float,map_reduce,max,8,1024,uniform,10000138,1,Map-reduce top-k end-to-end time (ms),0.062,Map-reduce top-k end-to-end time (ms),0.062,Map-reduce top-k algorithmic time (ms),0.062,4160,exact,1024,lower-bound
cpu,q10_k256_max,PASS,ok,float,map_reduce,max,256,1024,uniform,10000386,1,Map-reduce top-k end-to-end time (ms),0.069,Map-reduce top-k end-to-end time (ms),0.069,Map-reduce top-k algorithmic time (ms),0.069,6144,exact,1024,lower-bound
cpu,q11_k8_max,PASS,ok,float,map_reduce,max,8,2048,uniform,11000141,1,Map-reduce top-k end-to-end time (ms),0.049,Map-reduce top-k end-to-end time (ms),0.049,Map-reduce top-k algorithmic time (ms),0.049,8256,exact,2048,lower-bound
cpu,q11_k256_max,PASS,ok,float,map_reduce,max,256,2048,uniform,11000389,1,Map-reduce top-k end-to-end time (ms),0.047,Map-reduce top-k end-to-end time (ms),0.047,Map-reduce top-k algorithmic time (ms),0.047,10240,exact,2048,lower-bound
cpu,q12_k8_max,PASS,ok,float,map_reduce,max,8,4096,uniform,12000144,1,Map-reduce top-k end-to-end time (ms),0.043,Map-reduce top-k end-to-end time (ms),0.043,Map-reduce top-k algorithmic time (ms),0.043,16448,exact,4096,lower-bound
cpu,q12_k256_max,PASS,ok,float,map_reduce,max,256,4096,uniform,12000392,1,Map-reduce top-k end-to-end time (ms),0.07,Map-reduce top-k end-to-end time (ms),0.07,Map-reduce top-k algorithmic time (ms),0.07,18432,exact,4096,lower-bound
