source,backend,dtype,algorithm,mode,k,n,dist,seed,rep,file_path,elapsed_seconds,energy_joules,average_watts,baseline_watts,net_energy_joules,net_average_watts,command_exit_code,inproc_counters,inproc_e2e_joules,inproc_algo_joules,inproc_e2e_seconds,inproc_algo_seconds,inproc_net_e2e_joules,inproc_net_algo_joules,inproc_loop_joules,inproc_loop_seconds,core_energy_joules,net_core_energy_joules,board_energy_joules,net_board_energy_joules,board_baseline_watts,core_baseline_watts
rapl,cpu,float,bitonic,max,4096,131072,uniform,17004247,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q17_k4096_max_uniform_s17004247_rep1_rapl.txt,0.045448,0.584534,12.861649,5.421215,0.338152,7.440434,0,rapl:package+core,0.453131,0.453131,0.033832,0.033832,0.26972045412,0.26972045412,0.46961,0.0354,0.015975,0.01413,,,,0.040593
rapl,cpu,float,bitonic,max,4096,131072,uniform,17004247,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q17_k4096_max_uniform_s17004247_rep2_rapl.txt,0.045732,0.590958,12.922328,5.421215,0.343037,7.501113,0,rapl:package+core,0.436774,0.436774,0.034119,0.034119,0.251807565415,0.251807565415,0.46871,0.035647,0.010864,0.009008,,,,0.040593
rapl,cpu,float,bitonic,max,4096,131072,uniform,17004247,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q17_k4096_max_uniform_s17004247_rep3_rapl.txt,0.047502,0.618422,13.018982,5.421215,0.360906,7.597767,0,rapl:package+core,0.469107,0.469107,0.034072,0.034072,0.28439536252,0.28439536252,0.501256,0.035646,0.011169,0.009241,,,,0.040593
rapl,cpu,float,bitonic,max,8,131072,uniform,17000159,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q17_k8_max_uniform_s17000159_rep1_rapl.txt,0.013288,0.178931,13.465104,5.421215,0.106891,8.043889,0,rapl:package+core,0.076885,0.076885,0.005442,0.005442,0.04738274797,0.04738274797,0.091563,0.006887,0.011611,0.011072,,,,0.040593
rapl,cpu,float,bitonic,max,8,131072,uniform,17000159,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q17_k8_max_uniform_s17000159_rep2_rapl.txt,0.012932,0.157967,12.215369,5.421215,0.087861,6.794154,0,rapl:package+core,0.092113,0.092113,0.005362,0.005362,0.06304444517,0.06304444517,0.092113,0.006788,0.009399,0.008874,,,,0.040593
rapl,cpu,float,bitonic,max,8,131072,uniform,17000159,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q17_k8_max_uniform_s17000159_rep3_rapl.txt,0.013043,0.159965,12.264054,5.421215,0.089254,6.842839,0,rapl:package+core,0.072292,0.072292,0.005445,0.005445,0.042773484325,0.042773484325,0.087184,0.006835,0.013015,0.012486,,,,0.040593
rapl,cpu,float,bitonic,max,131072,262144,uniform,18131226,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q18_k131072_max_uniform_s18131226_rep1_rapl.txt,0.173943,2.321657,13.347262,5.421215,1.378677,7.926047,0,rapl:package+core,1.728518,1.728518,0.115805,0.115805,1.10071419692,1.10071419692,1.7464,0.119095,0.035261,0.0282,,,,0.040593
rapl,cpu,float,bitonic,max,131072,262144,uniform,18131226,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q18_k131072_max_uniform_s18131226_rep2_rapl.txt,0.17253,2.301944,13.342251,5.421215,1.36662,7.921036,0,rapl:package+core,1.624489,1.624489,0.115963,0.115963,0.995828644955,0.995828644955,1.707431,0.119265,0.026015,0.019011,,,,0.040593
rapl,cpu,float,bitonic,max,131072,262144,uniform,18131226,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q18_k131072_max_uniform_s18131226_rep3_rapl.txt,0.172372,2.331392,13.525381,5.421215,1.396928,8.104166,0,rapl:package+core,1.670859,1.670859,0.116027,0.116027,1.0418516872,1.0418516872,1.723178,0.119215,0.066205,0.059208,,,,0.040593
rapl,cpu,float,bitonic,max,256,262144,uniform,18000410,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q18_k256_max_uniform_s18000410_rep1_rapl.txt,0.033065,0.594788,17.988403,5.421215,0.415535,12.567188,0,rapl:package+core,0.4338,0.4338,0.020723,0.020723,0.321456161555,0.321456161555,0.478369,0.023168,0.034209,0.032867,,,,0.040593
rapl,cpu,float,bitonic,max,256,262144,uniform,18000410,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q18_k256_max_uniform_s18000410_rep2_rapl.txt,0.034884,0.607924,17.426789,5.421215,0.418808,12.005574,0,rapl:package+core,0.389476,0.389476,0.020933,0.020933,0.275993706405,0.275993706405,0.484808,0.023391,0.010055,0.008639,,,,0.040593
rapl,cpu,float,bitonic,max,256,262144,uniform,18000410,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q18_k256_max_uniform_s18000410_rep3_rapl.txt,0.033312,0.573899,17.22783,5.421215,0.393306,11.806615,0,rapl:package+core,0.411355,0.411355,0.020802,0.020802,0.29858288557,0.29858288557,0.457832,0.023196,0.026168,0.024816,,,,0.040593
rapl,cpu,float,bitonic,max,4096,262144,uniform,18004250,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q18_k4096_max_uniform_s18004250_rep1_rapl.txt,0.050557,0.918181,18.161168,5.421215,0.644099,12.739953,0,rapl:package+core,0.715661,0.715661,0.034425,0.034425,0.529035673625,0.529035673625,0.76467,0.037023,0.014465,0.012413,,,,0.040593
rapl,cpu,float,bitonic,max,4096,262144,uniform,18004250,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q18_k4096_max_uniform_s18004250_rep2_rapl.txt,0.051548,0.941083,18.256355,5.421215,0.661629,12.83514,0,rapl:package+core,0.713952,0.713952,0.03535,0.03535,0.52231204975,0.52231204975,0.78687,0.037945,0.015532,0.01344,,,,0.040593
rapl,cpu,float,bitonic,max,4096,262144,uniform,18004250,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q18_k4096_max_uniform_s18004250_rep3_rapl.txt,0.050953,0.917906,18.01479,5.421215,0.641679,12.593575,0,rapl:package+core,0.736762,0.736762,0.034761,0.034761,0.548315145385,0.548315145385,0.761267,0.037331,0.016753,0.014685,,,,0.040593
rapl,cpu,float,bitonic,max,8,262144,uniform,18000162,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q18_k8_max_uniform_s18000162_rep1_rapl.txt,0.016654,0.221866,13.322073,5.421215,0.131581,7.900858,0,rapl:package+core,0.095485,0.095485,0.005801,0.005801,0.064036531785,0.064036531785,0.116373,0.008161,0.017119,0.016443,,,,0.040593
rapl,cpu,float,bitonic,max,8,262144,uniform,18000162,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q18_k8_max_uniform_s18000162_rep2_rapl.txt,0.016418,0.234957,14.311164,5.421215,0.145953,8.889949,0,rapl:package+core,0.079265,0.079265,0.00571,0.00571,0.04830986235,0.04830986235,0.133263,0.008036,0.007369,0.006703,,,,0.040593
rapl,cpu,float,bitonic,max,8,262144,uniform,18000162,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q18_k8_max_uniform_s18000162_rep3_rapl.txt,0.016964,0.237369,13.992154,5.421215,0.145401,8.570939,0,rapl:package+core,0.117227,0.117227,0.005844,0.005844,0.08554541954,0.08554541954,0.138329,0.008195,0.013854,0.013165,,,,0.040593
rapl,cpu,float,bitonic,max,131072,524288,uniform,19131229,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q19_k131072_max_uniform_s19131229_rep1_rapl.txt,0.194093,3.807191,19.615294,5.421215,2.754971,14.194079,0,rapl:package+core,2.838584,2.838584,0.126101,0.126101,2.15496336729,2.15496336729,2.982787,0.134994,0.161262,0.153383,,,,0.040593
rapl,cpu,float,bitonic,max,131072,524288,uniform,19131229,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q19_k131072_max_uniform_s19131229_rep2_rapl.txt,0.193391,3.7784,19.537588,5.421215,2.729984,14.116373,0,rapl:package+core,2.699125,2.699125,0.12665,0.12665,2.01252812025,2.01252812025,2.951996,0.135232,0.625563,0.617713,,,,0.040593
